,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Help create a radical Internet Therapy!,berkeley,Jul 17,https://sfbay.craigslist.org/eby/sof/d/berkeley-help-create-radical-internet/7160797398.html,"
compensation: $30-$90/hr

employment type: employee's choice

","

QR Code Link to This Post


We are hiring a Developer to help us build a radical Internet Therapy — one where everyday people help one another.

This began as PhD research, with a novel form of Cognitive Behavioral Therapy that makes it safe and effective for everyday people to be helpers. It works. It's changed our own lives. The world needs it. And we need your help.

Read more and apply here:

https://cheeseburgertherapy.org/jobs "
2,Experienced C/C++ Programmer,santa rosa,Jul 16,https://sfbay.craigslist.org/nby/sof/d/santa-rosa-experienced-c-programmer/7160511831.html,"
compensation: 60k-85k

employment type: full-time

","

QR Code Link to This Post


We are a software development company that creates and supports software information systems for the clinical laboratory industry.
We are looking for a new energetic and dynamic individual to expand our programming department.
This is a permanent, full time, in-office position in Santa Rosa, California - the heart of the wine country!

Our future colleague should be an a quick learner with the ability to pick up new
ideas, be detail oriented and code quickly and easily. They should also be an excellent problem
solver, applying their knowledge to troubleshoot, diagnose, and solve unique and
challenging problems in a timely fashion. The candidate will also be comfortable
and clear in expressing technical ideas to others.

The successful candidate will be working in a small team where their impact will
be immediately felt.

Responsibilities:
- Forward development and maintenance of the existing Windows code base.
- Customer support and interaction.

Minimum Requirements:
- Clear, concise, and excellent communication skills.
- Interpersonal skills.
- Bachelor's degree in Computer Science.
- Minimum 3 years experience.
- Quick learner.
- Phone Skills
- Independent starter.
- Problem Solver.
- Command of C/C++
- PHP - Full stack    "
3,PCB design engineer for security startup,San Francisco & remote,Jul 15,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-pcb-design-engineer-for/7160176751.html,"
compensation: Equity only until funding, you should be able to engage without cash for 4-6 months.

employment type: contract

","

QR Code Link to This Post


Skills required: board design, C, embedded programming on bare metal, communications, drivers, protocols, interfaces between chips. Capability to design PCB, iterate, optimize BoM.

At least 5yr experience doing the above. 

The company is in the personal security hardware space. Please note the compensation details.    "
4,Data Science Fellowship,N/A,Jul 15,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-data-science-fellowship/7160060087.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

","

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 500 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=sfdata&utm_medium=job_board "
5,Product Management Fellowship,N/A,Jul 15,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-product-management/7160059634.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued tech professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 600 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new professionals that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for tech professionals in their career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are interested in getting the best possible job in tech.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=sfproduct&utm_medium=job_board
"
6,Software Engineering Fellowship,N/A,Jul 15,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-software-engineering/7160057519.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued tech professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 600 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new professionals that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for tech professionals in their career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are interested in getting the best possible job in tech.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=sfswe&utm_medium=job_board
"
7,WORKING FROM HOME? REIMBURSED FOR ALL HOME OFFICE EXPENSES?,Los Angeles,Jul 15,https://sfbay.craigslist.org/sfc/sof/d/los-angeles-working-from-home/7159981030.html,"
compensation: Back wages and reimbursements paid to you by your employer.

employment type: employee's choice

","

QR Code Link to This Post


If you work from home, your employer must reimburse you for all work expenses you incur such as cell phones, internet access, laptops/computers, special desks, even office supplies.

If you are not getting such home office expenses reimbursed, you may be owed significant wages and penalties under the California Labor Code.

Call Law Offices at (310) 478-5789 to see how you can get your back expenses and wages paid to you.    "
8,Data Engineer | The World's Fastest Growing Rideshare Company,SOMA / south beach,Jul 15,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-data-engineer-the-worlds/7159895467.html,"
compensation: Competitive

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/45d7e72e/apply


HireArt is helping the world’s fastest growing ride share company find a Data Engineer to help build a scalable data platform. The ideal candidate will have 5+ years of relevant engineering experience and will be adept at working cross-functionally to bridge business goals with data engineering. As Data Engineer, you will: 
Own the core company data pipeline and be responsible for scaling data processing flow to support rapid data growth. 
Evolve data model and data schema based on business and engineering needs.
Implement systems-tracking data quality and consistency.
Develop tools supporting self-service data pipeline management (ETL).
Perform SQL and MapReduce job tuning to improve data processing performance.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/45d7e72e/apply


Requirements

5+ years of relevant professional experience
1+ years of experience with workflow management tools (Airflow, Oozie, Azkaban, UC4)
Experience with Hadoop ecosystem or similar (e.g. MapReduce, Yarn, HDFS, Hive, Spark, Presto, Pig, HBase, Parquet, etc.)
Proficient in at least one of the SQL languages (e.g. MySQL, PostgreSQL, SqlServer, Oracle, etc.)
Good understanding of SQL Engine and able to conduct advanced performance tuning
Strong skills in scripting language (e.g. Python, Ruby, Bash, etc.)
Comfortable working directly with data analytics to bridge business goals with data engineering
Commitment: This is a full-time (40 hours per week), 5-month contract position through HireArt and based in San Francisco, CA. HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/45d7e72e/apply

 "
9,Physical Design Engineer | $110 - $117 per hour,menlo park,Jul 15,https://sfbay.craigslist.org/pen/sof/d/menlo-park-physical-design-engineer-per/7159891468.html,"
compensation: $110 - $117 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/9d266e5d/apply


HireArt is helping the world’s largest social network find a Physical Design Engineer to develop and own physical design implementation of low-power designs. The ideal candidate will have 5+ years’ experience in physical design. As Physical Design Engineer, you will: 
Develop and own physical design implementation of multi-hierarchy low-power designs including physical-aware logic synthesis, design for testability, floor plan, place and route, static timing analysis, IR Drop, EM, and physical verification in advanced technology nodes.
Resolve design and flow issues related to physical design, identify potential solutions, and drive execution.
Deliver physical design of end-to-end IPs and SoCs.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/9d266e5d/apply


Requirements

Bachelor's degree in electrical engineering
5+ years of relevant physical design experience
Experience in the following: sub-10nm ASIC synthesis, design for test (DFT), floor plan, place and route (PnR or P&R), static timing analysis (STA), low power intent (UPF/CPF) and power analysis
Experience with synthesis, PnR, and timing closures for ASIC deliverables, with very low power targets, using tools such as Synopsys DC/ICC2/PT
Scripting language experience including Python, PERL and TCL; other languages are a plus
Commitment: This is a full-time (40 hours per week), 4-month contract position through HireArt and based in Menlo Park, CA. HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/9d266e5d/apply

 "
10,AR/VR Apps Review Specialist  | $35 - $40/hour,menlo park,Jul 15,https://sfbay.craigslist.org/pen/sof/d/menlo-park-ar-vr-apps-review-specialist/7159884869.html,"
compensation: $35.00 - $40.00 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/63299dcc/apply


HireArt is helping our client, an Innovative VR company, hire a detail oriented and analytical AR/VR Apps Review Specialist to test and review all applications shipped on our client's platform and ensure they are high-quality, trustworthy, and meet our client's Content Policy and Virtual Reality Checks. This position is remote to start but will transition to in-office.You'll work to ensure policy compliance for 3rd party applications through the use of manual review, data analysis, automated detection tools, and coordination with product teams.A successful candidate will be passionate about privacy and security, is detail oriented, is a strong user/developer advocate, has the ability to make quick and informed decisions, and carefully considers the societal impact of new technologies.As AR/VR Apps Review Specialist, you will:
Execute the testing process for third party submissions to the our client's platform to ensure apps meet data use, content policy, and other requirements

Report on trends and advocate for platform level solutions to common rejection reasons
Propose and drive improvements to the testing and feedback process
Communicate with developers about their submission results and provide 1:1 ticketed support
Ability to quickly identify root causes as well as subtle, hidden issues, and use logic to propose effective solutions


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/63299dcc/apply


Requirements
Minimum Qualifications
2+ years of video game QA or application testing experience
Developer advocate, proven experience helping app developers overcome challenges to help them succeed
Communication skills and experience to clearly document complex bugs and the steps to reproduce
Ability to work successfully with multiple teams
Ability to identify opportunities to improve user experience through workflows, documentation and interfaces
Ability to proactively identify gaps in data, content, or guidelines

Preferred Qualifications
BA/BS Degree
Background in information security or content policy
Previous experience working within a compliance or regulatory environment is a plus



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/63299dcc/apply

 "
